Column1,Column2
predicted_class,actual_label
2,1
2,1
2,2
2,1
2,3
2,2
2,2
2,2
2,2
2,4
2,2
2,2
2,2
2,2
2,1
2,2
2,1
2,3
2,2
2,2
2,2
2,4
2,2
2,1
2,2
2,1
2,1
2,3
2,4
2,2
2,1
2,2
2,1
2,2
2,1
2,2
2,1
2,2
2,2
2,1
2,2
2,1
2,4
2,1
2,2
2,1
2,2
2,3
2,1
2,2
2,2
2,1
2,2
2,3
2,1
2,2
2,2
2,2
2,4
2,2
2,4
2,2
2,2
2,1
2,1
2,2
2,2
2,2
2,2
2,1
2,2
2,1
2,2
2,1
2,1
2,1
2,4
2,2
2,1
2,2
2,1
2,2
2,1
2,2
2,1
2,2
2,2
2,2
2,1
2,2
2,2
2,2
2,1
2,1
2,1
2,4
2,1
2,1
2,4
2,2
2,1
2,2
2,1
2,4
2,2
2,3
2,2
2,3
2,1
2,1
2,1
2,2
2,4
2,4
2,4
2,4
2,2
2,1
2,2
2,2
2,2
2,2
2,2
2,2
2,1
2,2
2,2
2,4
2,1
2,2
2,2
2,1
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,1
2,3
2,2
2,1
2,4
2,4
2,2
2,1
2,1
2,1
2,1
2,1
2,3
2,3
2,1
2,2
2,1
2,3
2,1
2,1
2,2
2,4
2,2
2,2
2,2
2,4
2,2
2,2
2,1
2,1
2,1
2,2
2,2
2,2
2,1
2,1
2,2
2,2
2,1
2,1
2,2
2,2
2,3
2,4
2,2
2,2
2,2
2,3
2,2
2,2
2,1
2,2
2,4
2,2
2,4
2,2
2,1
2,2
2,4
2,2
2,2
2,4
2,3
2,1
2,2
2,2
2,4
2,2
2,2
2,4
2,1
2,2
2,1
2,4
2,2
2,2
2,1
2,1
2,1
2,2
2,4
2,1
2,3
2,2
2,2
2,2
2,2
2,1
2,4
2,3
2,2
2,2
2,2
2,1
2,1
2,2
2,2
2,1
2,2
2,1
2,2
2,2
2,2
2,4
2,2
2,1
2,2
2,2
2,2
2,4
2,1
2,1
2,1
2,2
2,2
2,1
2,1
2,2
2,3
2,2
2,4
2,4
2,2
2,2
2,4
2,3
2,2
2,2
2,4
2,2
2,1
2,1
2,3
2,2
2,3
2,2
2,1
2,4
2,1
2,1
2,1
2,2
2,4
2,2
2,2
2,4
2,1
2,2
2,2
2,2
2,2
2,4
2,1
2,2
2,2
2,2
2,2
2,2
2,1
2,2
2,2
2,2
2,1
2,2
2,1
2,4
2,2
2,4
2,1
2,4
2,2
2,1
2,1
2,3
2,2
2,1
2,2
2,2
2,2
2,4
2,2
2,2
2,1
2,4
2,2
2,1
2,1
2,1
2,1
2,1
2,1
2,2
2,1
2,4
2,2
2,2
2,4
2,4
2,2
2,2
2,4
2,2
2,2
2,2
2,2
2,2
2,1
2,3
2,2
2,2
2,4
2,2
2,2
2,2
2,2
2,1
2,3
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,1
2,2
2,2
2,2
2,2
2,4
2,2
2,3
2,1
2,4
2,1
2,3
2,2
2,2
2,2
2,2
2,2
2,1
2,4
2,2
2,2
2,1
2,4
2,4
2,1
2,2
2,2
2,2
2,2
2,2
2,2
2,4
2,2
2,1
2,2
2,2
2,2
2,2
2,4
2,2
2,2
2,2
2,2
2,2
2,2
2,4
2,1
2,1
2,4
2,1
2,2
2,1
2,2
2,1
2,2
2,2
2,4
2,2
2,2
2,4
2,2
2,2
2,1
2,2
2,2
2,2
2,2
2,1
2,2
2,1
2,1
2,4
2,4
2,2
2,2
2,1
2,2
2,4
2,4
2,3
2,2
2,2
2,1
2,1
2,2
2,1
2,1
2,4
2,2
2,2
2,1
2,2
2,2
2,2
2,1
2,2
2,1
2,3
2,2
2,1
2,4
2,2
2,1
2,1
2,2
2,2
2,2
2,2
2,1
2,2
2,2
2,2
2,2
2,2
2,4
2,2
2,1
2,1
2,2
2,3
2,1
2,1
2,2
2,1
2,2
2,2
2,4
2,1
2,1
2,2
2,1
2,2
2,2
2,2
2,2
2,1
2,2
2,2
2,2
2,2
2,1
2,4
2,2
2,2
2,2
2,3
2,1
2,4
2,1
2,1
2,2
2,1
2,1
2,2
2,4
2,1
2,1
2,1
2,2
2,2
2,2
2,2
2,4
2,1
2,1
2,3
2,4
2,2
2,4
2,2
2,2
2,1
2,4
2,3
2,1
2,2
2,3
4,4
2,1
2,2
2,1
2,1
2,1
2,1
2,2
2,2
2,2
2,2
2,3
2,3
2,1
2,2
2,2
2,2
2,1
2,1
2,2
2,2
2,2
2,4
2,1
2,2
2,2
2,2
2,2
2,4
2,3
2,1
2,1
2,2
2,1
2,2
2,2
2,2
2,3
2,2
2,2
2,2
2,2
2,4
2,2
2,1
2,2
2,4
2,1
2,2
2,1
2,1
2,2
2,2
2,2
2,2
2,1
2,2
2,2
2,1
