Column1,Column2
prediction_3,label_3
30.407486,36.0
29.936392,15.0
30.440178,40.0
30.440178,3.0
30.477053,30.0
30.494719,64.0
30.513853,36.0
30.503614,3.0
30.279247,24.0
30.51335,40.0
30.407486,30.0
30.48743,16.0
30.51316,36.0
25.057878,48.0
29.936392,32.0
27.489357,72.0
30.499897,56.0
27.489357,32.0
28.83962,24.0
28.83962,24.0
30.15201,28.800001
30.15201,30.0
30.440178,16.0
25.057878,36.0
16.680712,32.0
30.512583,25.0
30.4621,8.0
30.407486,48.0
30.48743,72.0
30.15201,40.0
30.357567,24.0
30.440178,24.0
30.499893,36.0
30.494719,21.0
29.552927,24.0
30.440178,40.0
30.15201,40.0
30.407486,24.0
30.15201,42.0
27.489357,48.0
28.83962,24.0
30.357567,30.0
30.506304,20.0
29.552927,48.0
30.440178,30.0
30.440178,32.0
30.48743,28.0
30.15201,36.0
30.513687,40.0
30.279247,30.0
30.494719,32.0
30.503614,24.0
30.15201,26.033897
30.510769,24.0
30.279247,36.0
28.83962,32.0
30.477053,24.0
25.057878,24.0
30.503614,32.0
30.503614,60.0
27.489357,48.0
30.494719,30.0
30.407486,40.0
27.489357,36.0
30.15201,32.0
30.510769,48.0
25.057878,48.0
30.477053,8.0
29.552927,27.428572
30.494719,16.0
21.29296,30.0
27.489357,24.0
30.494719,36.0
30.503614,12.0
30.510769,32.0
30.48743,43.200001
30.15201,30.0
28.83962,24.0
30.15201,32.0
27.489357,32.0
30.279247,18.0
30.51349,30.0
29.936392,20.0
25.057878,32.0
30.279247,64.0
30.4621,32.0
30.509705,36.0
28.83962,24.0
30.510769,8.0
29.936392,32.0
30.477053,3.0
29.552927,30.0
27.489357,16.0
29.936392,30.0
30.440178,24.0
30.357567,48.0
30.440178,48.0
30.499897,24.0
30.499897,36.0
29.552927,36.0
28.83962,32.0
29.936392,36.0
25.057878,32.0
30.407486,96.0
30.509705,24.0
30.407486,40.0
30.15201,24.0
30.279247,25.0
30.407486,18.0
30.15201,40.0
28.83962,32.0
30.508268,4.0
30.494719,12.0
27.489357,24.0
28.83962,24.0
29.552927,32.0
30.503614,30.0
30.494719,28.0
30.407486,32.0
30.513826,64.0
30.440178,48.0
30.506304,6.0
29.552927,36.0
28.83962,24.0
30.4621,19.200001
30.512909,40.0
28.83962,16.0
30.494719,32.0
30.511555,18.0
28.83962,20.0
25.057878,32.0
27.489357,16.0
27.489357,24.0
28.83962,30.0
30.15201,30.0
21.29296,25.0
30.510769,48.0
30.279247,24.0
27.489357,32.0
25.057878,72.0
30.440178,64.0
30.499893,36.0
30.357567,24.0
29.552927,36.0
30.513744,32.0
27.489357,24.0
27.489357,32.0
30.494719,30.0
30.407486,40.0
30.15201,24.0
21.29296,36.0
30.494719,8.0
30.508268,30.0
30.48743,24.0
29.552927,12.0
30.477053,32.0
30.494719,30.0
30.357567,24.0
27.489357,32.0
30.407486,22.0
28.83962,36.0
28.83962,40.0
30.51335,16.0
27.489357,24.0
29.552927,24.0
30.509705,44.57143
30.357567,32.0
30.15201,30.0
30.15201,24.0
27.489357,24.0
30.510769,24.0
30.357567,32.0
