Column1,Column2
prediction_3,label_3
28.247692,36.0
27.313091,15.0
28.325762,40.0
28.325762,3.0
28.420073,30.0
28.469492,64.0
28.532219,36.0
28.49644,3.0
27.966936,24.0
28.529963,40.0
28.247692,30.0
28.448591,16.0
28.52919,36.0
21.9003,48.0
27.313091,32.0
24.127144,72.0
28.48494,56.0
24.127144,32.0
25.675129,24.0
25.675129,24.0
27.711641,28.800001
27.711641,30.0
28.325762,16.0
21.9003,36.0
15.736873,32.0
28.526905,25.0
28.380724,8.0
28.247692,48.0
28.448591,72.0
27.711641,40.0
28.134624,24.0
28.325762,24.0
28.48494,36.0
28.469492,21.0
26.68006,24.0
28.325762,40.0
27.711641,40.0
28.247692,24.0
27.711641,42.0
24.127144,48.0
25.675129,24.0
28.134624,30.0
28.50506,20.0
26.68006,48.0
28.325762,30.0
28.325762,32.0
28.448591,28.0
27.711641,36.0
28.531395,40.0
27.966936,30.0
28.469492,32.0
28.49644,24.0
27.711641,26.033897
28.520203,24.0
27.966936,36.0
25.675129,32.0
28.420073,24.0
21.9003,24.0
28.49644,32.0
28.49644,60.0
24.127144,48.0
28.469492,30.0
28.247692,40.0
24.127144,36.0
27.711641,32.0
28.520203,48.0
21.9003,48.0
28.420073,8.0
26.68006,27.428572
28.469492,16.0
19.018724,30.0
24.127144,24.0
28.469492,36.0
28.49644,12.0
28.520203,32.0
28.448591,43.200001
27.711641,30.0
25.675129,24.0
27.711641,32.0
24.127144,32.0
27.966936,18.0
28.530567,30.0
27.313091,20.0
21.9003,32.0
27.966936,64.0
28.380724,32.0
28.516468,36.0
25.675129,24.0
28.520203,8.0
27.313091,32.0
28.420073,3.0
26.68006,30.0
24.127144,16.0
27.313091,30.0
28.325762,24.0
28.134624,48.0
28.325762,48.0
28.48494,24.0
28.48494,36.0
26.68006,36.0
25.675129,32.0
27.313091,36.0
21.9003,32.0
28.247692,96.0
28.516468,24.0
28.247692,40.0
27.711641,24.0
27.966936,25.0
28.247692,18.0
27.711641,40.0
25.675129,32.0
28.511557,4.0
28.469492,12.0
24.127144,24.0
25.675129,24.0
26.68006,32.0
28.49644,30.0
28.469492,28.0
28.247692,32.0
28.532078,64.0
28.325762,48.0
28.50506,6.0
26.68006,36.0
25.675129,24.0
28.380724,19.200001
28.528194,40.0
25.675129,16.0
28.469492,32.0
28.523054,18.0
25.675129,20.0
21.9003,32.0
24.127144,16.0
24.127144,24.0
25.675129,30.0
27.711641,30.0
19.018724,25.0
28.520203,48.0
27.966936,24.0
24.127144,32.0
21.9003,72.0
28.325762,64.0
28.48494,36.0
28.134624,24.0
26.68006,36.0
28.531681,32.0
24.127144,24.0
24.127144,32.0
28.469492,30.0
28.247692,40.0
27.711641,24.0
19.018724,36.0
28.469492,8.0
28.511557,30.0
28.448591,24.0
26.68006,12.0
28.420073,32.0
28.469492,30.0
28.134624,24.0
24.127144,32.0
28.247692,22.0
25.675129,36.0
25.675129,40.0
28.529963,16.0
24.127144,24.0
26.68006,24.0
28.516468,44.57143
28.134624,32.0
27.711641,30.0
27.711641,24.0
24.127144,24.0
28.520203,24.0
28.134624,32.0
28.325762,24.0
25.675129,48.0
28.448591,32.0
28.134624,16.0
28.520203,40.0
24.127144,48.0
28.48494,30.0
25.675129,24.0
27.966936,64.0
28.380724,6.0
27.711641,24.0
19.018724,24.0
28.448591,40.0
28.532743,40.0
28.50506,28.800001
26.68006,30.0
28.50506,18.0
24.127144,24.0
26.68006,36.0
24.127144,32.0
28.420073,32.0
28.247692,20.0
26.68006,24.0
27.313091,32.0
25.675129,32.0
28.448591,48.0
28.420073,32.0
24.127144,16.0
27.313091,30.0
28.469492,24.0
27.711641,48.0
24.127144,48.0
28.49644,32.0
27.711641,30.0
28.247692,48.0
27.966936,36.0
28.511557,24.0
24.127144,32.0
28.526905,56.0
28.516468,20.0
27.313091,30.0
24.127144,24.0
24.127144,48.0
27.711641,20.0
28.530567,24.0
25.675129,56.0
28.523054,35.0
28.247692,42.0
21.9003,40.0
28.50506,28.0
27.313091,30.0
28.532415,36.0
27.313091,24.0
27.711641,24.0
26.68006,40.0
27.711641,32.0
27.966936,28.0
28.380724,20.0
27.711641,18.0
25.675129,36.0
28.516468,36.0
28.516468,48.0
25.675129,24.0
27.711641,36.0
24.127144,40.0
28.469492,4.0
21.9003,38.400002
24.127144,32.0
21.9003,24.0
28.325762,28.800001
28.526905,8.0
28.49644,24.0
28.134624,16.0
27.313091,24.0
28.325762,36.0
24.127144,36.0
28.325762,36.0
28.247692,32.0
28.520203,36.0
28.134624,20.0
28.247692,16.0
28.420073,40.0
28.52919,32.0
28.532578,18.0
28.448591,48.0
27.313091,40.0
24.127144,36.0
28.325762,2.0
28.529963,24.0
26.68006,36.0
28.380724,50.0
25.675129,24.0
25.675129,18.0
27.711641,24.0
28.531681,40.0
28.48494,20.0
28.469492,24.0
24.127144,48.0
28.325762,48.0
28.50506,24.0
27.711641,36.0
25.675129,24.0
28.523054,32.0
28.448591,24.0
21.9003,36.0
28.247692,42.0
28.448591,25.0
28.520203,17.0
28.469492,36.0
25.675129,24.0
28.50506,30.0
24.127144,32.0
27.313091,32.0
28.48494,25.0
27.313091,48.0
27.711641,30.0
28.448591,30.0
28.48494,8.0
24.127144,36.0
